Latitude,Longitude,Station_Name,Station_Layout,Years_Open,Line,Distance
28.67579,77.31239,Jhil mil,Elevated,16,Red,10.3
28.6718,77.27756,Welcome,Elevated,6,Pink,46.8
28.5544828,77.2648487,Okhla nsic,Elevated,7,Magenta,23.8
28.61932,77.03326,Dwarka mor,Elevated,19,Blue,10.2
28.57440755,77.21024148,Dilli haat ina,Underground,6,Pink,24.9
28.50266325,77.42625566,Noida sector 143,Elevated,5,Aqua,11.5
28.56417,77.23423,Moolchand,Elevated,14,Voilet,15.1
28.64931,77.22637,Chawri bazar,Underground,19,Yellow,15.3
28.6371795,77.1297333,Maya puri,Elevated,6,Pink,12.8
28.61474,77.21191,Central secretariat,Underground,19,Yellow,19.4
28.4082289,76.963024,Noida sector 146,Elevated,5,Aqua,15.8
28.6880254,76.9640828,Tikri border,Elevated,6,Green,20.2
28.5843,77.23766,Jangpura,Underground,14,Voilet,12.9
28.6776112,77.3581426,Major mohit sharma,Elevated,5,Red,5.7
28.7244312,77.181964,Majlis park,Elevated,6,Pink,20.2
28.56790025,77.18701648,Bhikaji cama place,Underground,6,Pink,22.6
28.6834491,77.0171333,Mundka industrial area,Elevated,6,Green,15.0
28.71642,77.17046,Adarsh nagar,Elevated,15,Yellow,4.7
28.57466,77.35608,Noida city center,Elevated,15,Blue,47.2
28.48076,77.12583,Arjan garh,Elevated,14,Yellow,38.6
28.57487,77.06454,Dwarka sector 9,Elevated,18,Blue,2.7
28.7076568,77.1755473,Azadpur,Underground,6,Pink,2.1
28.51302,77.18648,Qutab minar,Elevated,14,Yellow,31.7
28.63923,77.2084,R k ashram marg,Elevated,19,Blue,28.9
28.62481,77.0653,Uttam nagar west,Elevated,19,Blue,12.4
28.5771915,77.0442935,Dwarka,Elevated,5,Gray,20.2
28.474388,77.50399,Delta 1 greater noida,Elevated,5,Aqua,24.9
28.56714,77.34598,Golf course,Elevated,15,Blue,45.9
28.61753755,77.03543017,Shiv vihar,Elevated,6,Pink,52.6
28.6675,77.22817,Kashmere gate,Underground,7,Voilet,20.2
28.5904,77.23326,Jawaharlal nehru stadium,Underground,14,Voilet,12.0
28.62295,77.21389,Patel chowk,Underground,19,Yellow,18.5
28.62943,77.07767,Janak puri west,Elevated,19,Blue,14.7
28.5497752,77.2606671,Kalkaji mandir,Underground,7,Magenta,23.0
28.55226,77.05828,Dwarka sector 21,Underground,14,Blue,20.2
28.64039,77.10495,Subhash nagar,Elevated,19,Blue,17.6
28.50254,77.2993,Tughlakabad,Elevated,13,Voilet,25.2
28.4808629,77.0848883,Old faridabad,Elevated,9,Voilet,35.4
28.7383477,77.1398323,Rohini sector 18-19,Elevated,9,Yellow,0.8
28.68894,77.1616,Keshav puram,Elevated,20,Red,26.2
28.6981,77.14024,Kohat enclave,Elevated,20,Red,28.6
28.67855,77.10227,Paschim vihar,Elevated,14,Green,6.7
28.60223,77.02588,Dwarka sector 14,Elevated,18,Blue,7.6
28.544788,77.18987,Iit delhi,Underground,6,Magenta,16.3
28.6421518,77.11606038,Rajouri garden,Elevated,6,Pink,11.3
28.6536001,77.2957877,Karkarduma court,Elevated,6,Pink,44.0
28.6425,77.17815,Rajendra place,Elevated,19,Blue,25.7
28.5442564,77.2067072,Hauz khas,Underground,6,Magenta,17.5
28.5090789,77.409015,Noida sector 137,Elevated,5,Aqua,8.9
28.54292,77.27504,Okhla,Elevated,14,Voilet,20.0
28.64427,77.19988,Jhandewalan,Elevated,19,Blue,27.9
28.6408602,77.2094999,Raj bagh,Elevated,5,Red,6.9
28.67319,77.16994,Inderlok conn:red,Elevated,14,Green,20.2
28.5857,77.3753,Noida sector 51,Elevated,5,Aqua,20.2
28.4631285,77.50809851,Pari chowk greater noida,Elevated,5,Aqua,22.5
28.4758348,77.55447875,Noida sector 148,Elevated,5,Aqua,18.9
28.70317,77.13223,Pitam pura,Elevated,20,Red,29.6
28.65784,77.14248,Moti nagar,Elevated,19,Blue,21.8
28.689281,76.9511988,Pandit shree ram sharma,Elevated,6,Green,21.5
28.68208,77.05596,Nangloi railway station,Elevated,14,Green,11.2
28.535517,77.391029,Noida sector 50,Elevated,5,Aqua,1.3
28.66999,77.18169,Shastri nagar,Elevated,21,Red,23.1
28.52878,77.28826,Sarita vihar,Elevated,14,Voilet,22.1
28.68321,77.03133,Mundka,Elevated,14,Green,13.7
28.67544,77.30095,Mansarovar park,Elevated,16,Red,11.4
28.60442,77.29455,Mayur vihar phase-1,Elevated,15,Blue,38.3
28.6948,77.21483,Vishwavidyalaya,Underground,20,Yellow,9.8
28.66711,77.21653,Tis hazari,Elevated,22,Red,19.7
28.55693,77.08669,Igi airport,Underground,13,Orange,17.9
28.56583,77.06706,Dwarka sector 8,Elevated,14,Blue,1.7
28.55849025,77.28116474,Jamia millia islamia,Elevated,7,Magenta,26.1
28.6088598,77.2181649,Janpath,Underground,10,Voilet,7.2
28.554886,77.1710841,Munirka,Underground,6,Magenta,14.0
28.5887494,77.2572494,Sarai kale khan hazrat nizamuddin,Underground,6,Pink,32.2
28.66662,77.19882,Pratap nagar,Elevated,21,Red,21.4
28.66199,77.15748,Satguru ram singh marg,Elevated,13,Green,1.1
28.5638964,77.334332,Botanical garden,Elevated,7,Magenta,33.1
28.64902,77.1227,Rajouri garden,Elevated,19,Blue,19.6
28.45769,77.2219388,N.h.p.c. chowk,Elevated,9,Voilet,30.4
28.5206,77.20138,Saket,Underground,14,Yellow,30.0
28.6857668,77.1496094,Shakurpur,Elevated,6,Pink,6.3
28.68802,77.2214,Vidhan sabha,Underground,20,Yellow,10.8
28.5741575,77.1953703,Sarojini nagar,Underground,6,Pink,23.8
28.62342,77.2425,Supreme court,Elevated,18,Blue,32.6
28.50671,77.17484,Chhattarpur,Elevated,14,Yellow,33.0
28.54881,77.12092,Delhi aerocity,Underground,13,Orange,14.5
28.5771509,77.1111533,Terminal 1 igi airport,Underground,6,Magenta,8.9
28.6974603,76.9192027,Brigadier hoshiar singh,Elevated,6,Green,24.8
28.7301214,77.1494029,Haiderpur badli mor,Elevated,9,Yellow,2.1
28.62177,77.05585,Uttam nagar east,Elevated,19,Blue,13.4
28.5938331,77.13497891,Delhi cantt,Elevated,6,Pink,16.1
28.4089049,76.9155232,Noida sector 147,Elevated,5,Aqua,17.3
28.69197845,77.27962397,Maujpur,Elevated,6,Pink,49.1
28.64849,77.30558,Karkar duma,Elevated,14,Blue,4.6
28.63064,77.27749,Laxmi nagar,Elevated,14,Blue,1.3
28.62901,77.2119,Shivaji stadium,Underground,13,Orange,1.9
28.63663,77.28683,Nirman vihar,Elevated,14,Blue,2.4
28.55148,77.25154,Nehru place,Elevated,14,Voilet,17.4
28.58068,77.05682,Dwarka sector 10,Elevated,18,Blue,3.8
28.676999,77.3918919,Arthala,Elevated,5,Red,2.5
28.58512,77.31139,Noida sector 15,Elevated,15,Blue,41.4
28.62025,77.04514,Nawada,Elevated,19,Blue,11.4
28.64695,77.31603,Anand vihar,Elevated,14,Blue,5.7
27.92086195,77.52850191,Lal quila,Underground,7,Voilet,1.5
28.62588,77.2341,Mandi house,Underground,18,Blue,31.8
28.67153,77.15527,Ashok park main,Elevated,14,Green,1.4
28.6018751,77.0823561,Dashrath puri,Underground,6,Magenta,3.1
28.5529418,77.321595,Okhla bird sanctuary,Elevated,7,Magenta,31.4
28.64171,77.29543,Preet vihar,Elevated,14,Blue,3.4
28.6173003,77.0104375,Nangli,Elevated,5,Gray,1.5
28.61564,77.02197,Dwarka,Elevated,19,Blue,9.1
28.6517178,77.2219388,Sarai,Elevated,9,Voilet,28.8
28.7446158,77.1382654,Samaypur badli,Elevated,9,Yellow,20.2
28.5724231,77.2585979,Ashram,Underground,6,Pink,30.3
28.5458279,77.2966578,Jasola vihar shaheen bagh,Elevated,7,Magenta,28.4
28.56409,77.3342,Botanical garden,Elevated,15,Blue,44.7
28.55007,77.25835,Kalkaji mandir,Elevated,14,Voilet,18.2
28.4418747,77.3023001,Mewala maharajpur,Elevated,9,Voilet,31.3
28.69605175,77.15264042,Netaji subash place,Underground,6,Pink,5.1
28.6578461,77.2901853,Krishna nagar,Elevated,6,Pink,44.7
28.6289502,77.0779235,Janak puri west,Underground,6,Magenta,20.2
28.45927,77.07268,Huda city centre,Elevated,14,Yellow,45.7
28.5785326,77.175741,Sir vishweshwaraiah moti bagh,Elevated,6,Pink,21.0
28.65274,77.13164,Ramesh nagar,Elevated,19,Blue,20.6
28.5433525,77.2140757,Panchsheel park,Underground,6,Magenta,19.0
28.70278,77.19363,Model town,Elevated,15,Yellow,7.6
28.72072,77.10713,Rithala,Elevated,20,Red,32.7
28.6868661,76.9772069,Tikri kalan,Elevated,6,Green,18.9
28.6703201,77.1420875,Punjabi bagh west,Elevated,6,Pink,7.7
28.56892,77.20771,Aiims,Underground,14,Yellow,24.6
28.63003,77.22436,Barakhamba,Underground,19,Blue,30.8
28.54525655,77.03257609,Sector 28 faridabad,Elevated,9,Voilet,32.5
28.65785,77.23014,Chandni chowk,Underground,19,Yellow,14.3
28.6058619,77.2987023,Mayur vihar pocket i,Elevated,6,Pink,36.6
28.6157555,77.085178,Dabri mor - janakpuri south,Underground,6,Magenta,2.0
28.68231,77.06471,Nangloi,Elevated,14,Green,10.3
28.7076,77.12591,Rohini east,Elevated,20,Red,30.4
28.612304,76.9823908,Najafgarh,Underground,5,Gray,3.9
28.6852384,76.9961591,Ghevra metro station,Elevated,6,Green,17.1
28.53824,77.28319,Jasola,Elevated,14,Voilet,20.9
28.6706109,77.4155822,Shaheed sthal,Elevated,5,Red,20.2
28.71288,77.2861253,Johri enclave,Elevated,6,Pink,51.7
28.61806,77.27869,Akshardham,Elevated,15,Blue,36.5
28.6580737,77.1272678,Esi basai darapur,Elevated,6,Pink,10.2
28.62051,77.24993,Indraprastha,Elevated,18,Blue,33.4
28.69785,77.20722,Guru tegh bahadur nagar,Underground,15,Yellow,9.0
28.48203,77.10232,Guru dronacharya,Elevated,14,Yellow,40.9
28.5460584,77.2515057,Nehru enclave,Underground,6,Magenta,22.1
28.51938,77.29388,Mohan estate,Elevated,13,Voilet,23.3
28.5613002,77.2919304,Okhla vihar,Elevated,7,Magenta,26.6
28.67345,77.28962,Shahdara,Elevated,22,Red,12.5
28.59178,77.16155,Dhaula kuan,Elevated,13,Orange,8.3
28.6826822,77.2748055,Jaffrabad,Elevated,6,Pink,48.0
28.71483,77.11467,Rohini west,Elevated,20,Red,31.7
28.5918933,77.0828242,Palam,Underground,6,Magenta,4.6
28.6988072,28.6988072,Shyam park,Elevated,5,Red,4.5
28.64997,77.33974,Vaishali,Elevated,13,Blue,8.1
28.72592,77.16267,Jahangirpuri,Elevated,15,Yellow,3.4
28.49334,77.30307,Badarpur border,Elevated,13,Voilet,26.3
28.6305091,77.2414363,Ito,Underground,9,Voilet,5.0
28.422814,77.310278,Badkal mor,Elevated,9,Voilet,34.2
28.6273375,77.1403175,Naraina vihar,Underground,6,Pink,14.3
28.68221,77.04381,Rajdhani park,Elevated,14,Green,12.4
28.48182,77.09235,Sikandarpur,Elevated,14,Yellow,41.9
28.6818,77.07385,Maharaja surajmal stadium,Elevated,14,Green,9.5
28.67289,77.14614,Punjabi bagh,Elevated,14,Green,2.3
28.613453,77.3088549,Trilokpuri sanjay lake,Elevated,6,Pink,37.9
28.58657,77.04929,Dwarka sector 11,Elevated,18,Blue,4.8
28.6467533,77.3180037,Anand vihar,Elevated,6,Pink,41.9
28.47209,77.07175,Iffco chowk,Elevated,14,Yellow,44.2
28.63282,77.21826,Rajiv chowk,Underground,19,Yellow,17.2
28.5418777,77.2384553,Greater kailash,Underground,6,Magenta,20.8
28.67292,77.1442,Ashok park main,Elevated,14,Green,20.2
28.69591,77.15226,Netaji subash place,Elevated,6,Red,27.4
28.603133,77.2925892,Mayur vihar phase-1,Elevated,6,Pink,35.8
28.57079,77.23653,Lajpat nagar,Underground,6,Pink,27.7
28.63657,77.09648,Tilak nagar,Elevated,19,Blue,16.7
28.6768508,77.2250299,Civil lines,Underground,20,Yellow,12.1
28.5597477,77.2749004,Sukhdev vihar,Elevated,7,Magenta,24.9
28.56069055,77.16079073,Vasant vihar,Underground,6,Magenta,12.8
28.668,77.24994,Shastri park,Elevated,22,Red,16.4
28.61166,77.21198,Udyog bhawan,Underground,14,Yellow,19.7
28.6249712,77.3044906,Mandawali - west vinod nagar,Elevated,6,Pink,39.3
28.5514261,77.1847012,Rk puram,Underground,6,Magenta,15.4
28.6392036,77.2407823,Delhi gate,Underground,7,Voilet,3.7
28.64307,77.22144,New delhi,Underground,19,Yellow,16.1
28.6907847,76.9354851,Bahdurgarh city,Elevated,6,Green,23.0
28.3546513,77.3162264,Sant surdas - sihi,Elevated,6,Voilet,41.8
28.71745265,77.15086655,Shalimar bagh,Underground,6,Pink,3.7
28.60631905,77.10608185,Mohan nagar,Elevated,5,Red,3.2
28.57819,77.31757,Noida sector 16,Elevated,15,Blue,42.5
28.54335,77.20667,Hauz khas,Underground,14,Yellow,27.4
28.67959,77.09261,Peera garhi,Elevated,14,Green,7.6
28.878965,77.4154832,Hindon river,Elevated,5,Red,1.0
28.6491622,77.30620811,Karkar duma,Elevated,6,Pink,42.9
28.58916,77.30204,New ashok nagar,Elevated,15,Blue,40.4
28.58708,77.21209,Jor bagh,Underground,14,Yellow,22.5
28.6255556,77.234195,Mandi house,Underground,10,Voilet,5.8
28.63305,77.08669,Janak puri east,Elevated,19,Blue,15.7
28.5381411,77.2280694,Chirag delhi,Underground,6,Magenta,19.9
28.70696,77.18053,Azadpur,Elevated,15,Yellow,6.2
28.6225753,77.3743146,Noida sector 81,Elevated,5,Aqua,4.3
28.5307795,77.2120573,Shaheed nagar,Elevated,5,Red,8.2
28.55527,77.24205,Kailash colony,Elevated,14,Voilet,16.4
28.55743865,77.13966549,Shankar vihar,Elevated,6,Magenta,10.7
28.524115,77.397244,Noida sector 83,Elevated,5,Aqua,7.4
28.644,77.18855,Karol bagh,Elevated,19,Blue,26.7
28.64379,77.11284,Tagore garden,Elevated,19,Blue,18.5
28.6749,77.13056,Shivaji park,Elevated,14,Green,3.9
28.55979,77.20682,Green park,Underground,14,Yellow,25.6
28.64498,77.16929,Patel nagar,Elevated,19,Blue,24.8
28.67592,77.32142,Dilshad garden,Elevated,16,Red,9.4
28.6200437,77.3054069,Vinod nagar east,Elevated,6,Pink,38.7
28.66989,77.2667,Seelampur,Elevated,22,Red,14.8
28.49383,77.14922,Ghitorni,Elevated,14,Yellow,35.9
28.6516,77.15824,Shadipur,Elevated,19,Blue,23.5
28.6773,77.11228,Paschim vihar,Elevated,14,Green,5.7
28.66636,77.20727,Pul bangash,Elevated,21,Red,20.6
28.60276,77.22829,Khan market,Underground,14,Voilet,10.6
28.59722,77.03326,Dwarka sector 13,Elevated,18,Blue,6.7
28.6809,77.08077,Udyog nagar,Elevated,14,Green,8.8
28.556402,77.384798,Noida sector 101,Elevated,5,Aqua,3.4
28.5894384,77.1690817,Durgabai deshmukh south campus,Elevated,6,Pink,19.7
28.4709,77.5127,Alpha 1 greater noida,Elevated,5,Aqua,23.4
28.6646964,77.284881,East azad nagar,Elevated,6,Pink,45.7
28.47957,77.08006,Mg road,Elevated,14,Yellow,43.1
28.6288991,77.31019788,Ip extension,Elevated,6,Pink,40.3
28.52798,77.20565,Malviya nagar,Underground,14,Yellow,29.1
28.57526,77.20935,Dilli haat ina,Underground,14,Yellow,23.8
28.54451,77.26401,Govind puri,Elevated,14,Voilet,18.9
28.3702344,77.3149203,Escorts mujesar,Elevated,9,Voilet,40.1
28.3974824,77.3123599,Neelam chowk ajronda,Elevated,9,Voilet,37.0
28.49927,77.16153,Sultanpur,Elevated,14,Yellow,34.6
28.59726,77.21088,Lok kalyan marg,Underground,14,Yellow,21.3
28.5669763,77.2491906,Vinobapuri,Underground,6,Pink,29.1
28.7024752,77.2861253,Gokulpuri,Elevated,6,Pink,50.4
28.68254,77.16459,Kanhaiya nagar,Elevated,20,Red,25.5
28.65001015,77.23767617,Jama masjid,Underground,7,Voilet,2.3
28.3400192,77.3164281,Raja nahar singh,Elevated,6,Voilet,43.5
28.568746,77.382685,Noida sector 76,Elevated,5,Aqua,2.3
28.67734,77.11965,Madipur,Elevated,14,Green,5.0
28.5452187,77.3059891,Kalindi kunj,Elevated,7,Magenta,29.8
28.64544,77.32432,Kaushambi,Elevated,13,Blue,6.5
28.3858361,77.313462,Bata chowk,Elevated,9,Voilet,38.3
28.59232,77.04051,Dwarka sector 12,Elevated,18,Blue,5.8
28.57081,77.32612,Noida sector 18,Elevated,15,Blue,43.6
28.4568669,77.50005403,Knowledge park ii,Elevated,5,Aqua,21.4
28.59415815,77.29458935,Mayur vihar extention,Elevated,15,Blue,39.5
